seed,success_a,ep_len_a,agent_energy_sum_a,agent_load_sum_a,agent_energy_mean_a,agent_load_mean_a,oracle_min_load_sum_a,oracle_min_energy_sum_a,oracle_shortest_len_a,detour_a,feasible_a,success_b,ep_len_b,agent_energy_sum_b,agent_load_sum_b,agent_energy_mean_b,agent_load_mean_b,oracle_min_load_sum_b,oracle_min_energy_sum_b,oracle_shortest_len_b,detour_b,feasible_b,d_energy,d_load,d_detour
93,True,10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,True,True,10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,True,0.0,0.0,0.0
94,True,12,2.0,1.8120730817317963,0.16666666666666666,0.15100609014431635,0.0,0.0,12.0,0.0,False,True,12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,True,0.16666666666666666,0.15100609014431635,0.0
95,True,12,1.0,0.6848819255828857,0.08333333333333333,0.057073493798573814,0.0,0.0,12.0,0.0,False,True,12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,True,0.08333333333333333,0.057073493798573814,0.0
96,True,12,2.0,0.3949136137962342,0.16666666666666666,0.03290946781635285,0.0,0.0,12.0,0.0,False,True,12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,True,0.16666666666666666,0.03290946781635285,0.0
97,True,13,3.0,0.7616535425186157,0.23076923076923078,0.058588734039893516,0.0,1.0,13.0,0.0,False,True,13,1.0,0.0,0.07692307692307693,0.0,0.0,1.0,13.0,0.0,True,0.15384615384615385,0.058588734039893516,0.0
98,True,13,4.0,0.0,0.3076923076923077,0.0,0.0,1.0,13.0,0.0,False,True,13,2.0,0.0,0.15384615384615385,0.0,0.0,1.0,13.0,0.0,False,0.15384615384615385,0.0,0.0
99,True,11,2.0,1.351253718137741,0.18181818181818182,0.12284124710343101,0.0,0.0,11.0,0.0,False,True,11,1.0,0.22757476568222051,0.09090909090909091,0.020688615062020046,0.0,0.0,11.0,0.0,True,0.09090909090909091,0.10215263204141097,0.0
100,True,14,3.0,0.38587248325347906,0.21428571428571427,0.02756232023239136,0.0,0.0,14.0,0.0,False,True,14,1.0,0.38587248325347906,0.07142857142857142,0.02756232023239136,0.0,0.0,14.0,0.0,True,0.14285714285714285,0.0,0.0
101,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,11.0,0.0,True,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,11.0,0.0,True,0.0,0.0,0.0
102,True,11,2.0,1.2766392230987549,0.18181818181818182,0.1160581111907959,0.0,0.0,11.0,0.0,False,True,11,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,True,0.18181818181818182,0.1160581111907959,0.0
103,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,0.0,12.0,0.0,False,True,12,0.0,0.19935122132301336,0.0,0.01661260177691778,0.0,0.0,12.0,0.0,True,0.16666666666666666,-0.01661260177691778,0.0
104,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,0.0,12.0,0.0,False,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,0.0,12.0,0.0,False,0.0,0.0,0.0
